patient_id,name,id_card,gender,age,department,diagnosis
P100134,卢华,6100920196606226126,female,58,呼吸内科,肝硬化
P100135,吕斌,340183019680616925X,male,56,神经内科,支气管哮喘
P100136,丁桂梅,5000924195606156129,female,68,心内科,房颤; 肝功能异常
P100137,史天洋,2300204196704215257,male,57,中医科,肝功能异常
P100138,孔亮,5000725193008163651,male,94,神经内科,慢性支气管炎; 骨折
P100139,谢海,4100630200507269551,male,19,外科,胃炎
P100140,曾璐,4201509196803282406,female,56,内分泌科,术前检查
P100141,宋芳,2200620194011258167,female,84,肿瘤科,慢性支气管炎
P100142,马华,3500815197601099645,female,48,内分泌科,高血压
P100143,薛云秀,4201023197807221542,female,46,肾内科,骨折; 肝功能异常
P100144,罗璐,4101826197012188520,female,54,老年科,慢性支气管炎
P100145,金颖妍,4401805198909072140,female,35,ICU,类风湿关节炎
P100146,孙薇,3701902201609147166,female,8,口腔科,2型糖尿病; 慢性阻塞性肺病
P100147,张萍,4300230202212030863,female,2,外科,甲状腺功能亢进
P100148,夏翔,5101805197107038354,male,53,妇产科,慢性阻塞性肺病
P100149,萧伟,4301418194411244839,male,80,呼吸内科,肾功能不全
P100150,唐秀欣,1300420198304070469,female,41,耳鼻喉科,急性上呼吸道感染; 脑梗死
P100151,杜鑫飞,4201008193401059393,male,90,内分泌科,胆囊炎
P100152,吕超,1201819197005099436,male,54,皮肤科,复查; 急性上呼吸道感染
P100153,阎琪欣,6101816197407063025,female,50,神经内科,肾功能不全; 术前检查
P100154,白海,3100711197907088217,male,45,泌尿外科,慢性支气管炎; 甲状腺功能减退
P100155,傅龙,6101924198104268595,male,43,心内科,阑尾炎
P100156,王萍,4100823195512257721,female,69,血液科,胆囊炎; 慢性肾病; 支气管哮喘
P100157,陆琳颖,6201625196808044029,female,56,肾内科,冠心病
P100158,高强天,2201108197005054896,male,54,呼吸内科,阑尾炎
P100159,姚蕊,5301816194703052386,female,77,皮肤科,冠心病; 肺炎; 急性上呼吸道感染
P100160,戴明,2201715198403014715,male,40,耳鼻喉科,产检; 复查
P100161,张毅,4301001202012096477,male,4,感染科,甲状腺功能亢进; 胃炎; 肾功能不全
P100162,唐凯,3401315195007037232,male,74,中医科,慢性支气管炎
P100163,孙峰轩,2100316196301235551,male,61,眼科,胃炎; 冠心病; 骨折
P100164,崔志勇,5100206197509194019,male,49,心内科,慢性阻塞性肺病
P100165,吕亮,330132519711118943X,male,53,感染科,慢性支气管炎; 尿路感染; 急性上呼吸道感染
P100166,汪刚,610110119871013815X,male,37,感染科,复查; 骨折; 尿路感染
P100167,汪华,6200823198110100909,female,43,消化内科,肾功能不全
P100168,卢颖芳,3100405194406251124,female,80,肿瘤科,痛风
P100169,赵军军,3201413197307019915,male,51,康复科,脑梗死; 贫血; 支气管哮喘
P100170,何文俊,3601016200107090950,male,23,消化内科,复查; 甲状腺功能减退; 术前检查
P100171,何博峰,6401115198707264275,male,37,皮肤科,肝功能异常; 肝硬化; 胆囊炎
P100172,石浩峰,5001619194912233153,male,75,血液科,慢性阻塞性肺病
P100173,胡妍悦,3700715198901243701,female,35,感染科,复查; 肝功能异常
P100174,曹莉,3702016193307037466,female,91,新生儿科,痛风
P100175,薛毅,5101206195504228293,male,69,外科,慢性阻塞性肺病
P100176,汪霞莉,5201908199009195741,female,34,血液科,肾功能不全
P100177,赵洁欣,5300512195602273944,female,68,泌尿外科,产检; 尿路感染
P100178,马瑶,6200401198105024308,female,43,口腔科,脑梗死; 甲状腺功能亢进
P100179,蔡轩,2101413197111060396,male,53,心内科,高脂血症
P100180,张萍丽,3300715196603121442,female,58,口腔科,胆囊炎; 支气管哮喘
P100181,邱秀璐,3202019196212261025,female,62,内分泌科,肝硬化
P100182,宋翔,440131419701005237X,male,54,皮肤科,甲状腺功能亢进
P100183,姚斌浩,340011619390128173X,male,85,血液科,复查; 痛风; 健康体检
P100184,梁燕,3100818195105023626,female,73,老年科,复查
P100185,康涛毅,6100225194709279270,male,77,新生儿科,高脂血症
P100186,袁博,630031520220628153X,male,2,心内科,尿路感染; 高脂血症
P100187,史明,3401809193301197698,male,91,骨科,慢性肾病
P100188,康荣,6101430196202050744,female,62,皮肤科,肝功能异常
P100189,高浩,1501921193707163472,male,87,血液科,慢性支气管炎
P100190,邹荣,4400128194408119904,female,80,康复科,尿路感染; 肺炎; 慢性阻塞性肺病
P100191,钟飞,4400519199706186255,male,27,口腔科,冠心病; 胃炎
P100192,李秀,2200529199201148348,female,32,骨科,房颤; 慢性支气管炎
P100193,邓燕英,5200814200805248303,female,16,中医科,类风湿关节炎
P100194,吴玲,5201127196901011569,female,55,中医科,肺炎
P100195,余军,1501325199606109636,male,28,皮肤科,肾功能不全; 肺炎; 高血压
P100196,田泽,510152819790720271X,male,45,妇产科,消化性溃疡
P100197,丁怡玲,4302020198602089282,female,38,神经内科,2型糖尿病; 肝硬化
P100198,熊嘉,6200816194911024913,male,75,呼吸内科,肺炎
P100199,薛浩睿,6101625196611060919,male,58,眼科,心力衰竭
P100200,陈洋,4201414197411238977,male,50,急诊科,肾功能不全; 房颤
P100201,苏军,3501921200209119719,male,22,神经内科,脑梗死; 急性上呼吸道感染
P100202,孙波凯,5100604197411240139,male,50,中医科,复查
P100203,熊琪,5300924195306051509,female,71,内分泌科,房颤; 肺炎
P100204,康丽,4400612198208282040,female,42,老年科,消化性溃疡
P100205,邹伟伟,1500630199106130490,male,33,感染科,痛风; 骨折; 胆囊炎
P100206,夏浩勇,6500206198009222898,male,44,外科,肺炎; 术前检查; 慢性肾病
P100207,蒋燕,6201024202305197924,female,1,泌尿外科,复查
P100208,郝华海,6300111202006210078,male,4,康复科,胃炎; 类风湿关节炎
P100209,夏俊,1300230195412092990,male,70,肿瘤科,带状疱疹; 术前检查
P100210,毛杰,4400214197102198438,male,53,呼吸内科,胆囊炎
P100211,蒋婷,6101904200003251903,female,24,骨科,胆囊炎
P100212,郭悦萍,1400306196905288741,female,55,中医科,冠心病; 类风湿关节炎
P100213,高燕,5101009194609022204,female,78,血液科,脑梗死; 胃炎
P100214,朱玲静,6301312195103078705,female,73,眼科,肺炎
P100215,周鹏,6301104197902280579,male,45,外科,高脂血症
P100216,谭娟怡,3101529200003091905,female,24,耳鼻喉科,脑梗死; 慢性肾病
P100217,戴雯,2201708201203148085,female,12,感染科,支气管哮喘
P100218,石悦,3500906198809110343,female,36,耳鼻喉科,房颤
P100219,方恒天,5100809195302086811,male,71,老年科,骨折; 支气管哮喘; 尿路感染
P100220,谢华,1101219193606197238,male,88,眼科,复查; 肝硬化; 甲状腺功能亢进
P100221,刘燕梦,3302007199008011647,female,34,中医科,胆囊炎
P100222,李超,4201203193402284779,male,90,眼科,肝硬化
P100223,何英,330062319630821718X,female,61,感染科,甲状腺功能亢进
P100224,苏梅芳,6101902194007282387,female,84,内分泌科,骨折; 胃炎; 复查
P100225,蔡勇浩,5001115200412220156,male,20,心内科,肺炎
P100226,邓霞,210141620211214484X,female,3,新生儿科,产检
P100227,郑鑫磊,1301106199605044831,male,28,康复科,慢性支气管炎
P100228,秦彤,4501406194511060606,female,79,内分泌科,甲状腺功能减退
P100229,孔悦梅,4401827200301136229,female,21,外科,高脂血症
P100230,彭嘉,3200316201503211459,male,9,感染科,复查
P100231,孙悦颖,1200915194703155942,female,77,呼吸内科,急性上呼吸道感染; 肾功能不全
P100232,徐泽,4300227195910084999,male,65,肿瘤科,产检; 脑梗死; 肝硬化
P100233,潘磊,4500504193310229679,male,91,骨科,贫血; 类风湿关节炎; 甲状腺功能减退
P100234,陈波波,4500911198603279319,male,38,急诊科,慢性阻塞性肺病
P100235,沈琪,4401726193312205303,female,91,肿瘤科,胃炎
P100236,崔杰,3101321193006146297,male,94,耳鼻喉科,甲状腺功能亢进
P100237,杜桂,6501123197101133006,female,53,康复科,房颤
P100238,李雪,5200428199808282923,female,26,神经内科,健康体检; 胆囊炎; 房颤
P100239,江燕萍,6101728194512164703,female,79,ICU,肺炎; 肝硬化
P100240,何琪,1200802202304275801,female,1,肾内科,房颤; 带状疱疹
P100241,廖倩,410201520060412226X,female,18,眼科,尿路感染
P100242,许军龙,2300822202004282656,male,4,皮肤科,2型糖尿病
P100243,方明,4501023198304099052,male,41,肿瘤科,尿路感染; 术前检查
P100244,董璐琪,1101722194610044787,female,78,皮肤科,慢性肾病
P100245,朱洁荣,5201007197505211983,female,49,老年科,急性上呼吸道感染
P100246,卢玲,350132419740514048X,female,50,中医科,甲状腺功能减退; 阑尾炎; 骨折
P100247,魏薇英,3200416193009061644,female,94,康复科,甲状腺功能亢进; 阑尾炎
P100248,萧泽博,4401015197306091575,male,51,外科,肺炎; 产检
P100249,廖涛,6400505197407022556,male,50,肿瘤科,术前检查; 肾功能不全; 胆囊炎
P100250,徐俊辉,3100725200501159934,male,19,眼科,复查; 慢性支气管炎
P100251,史波,1201807196807019357,male,56,内科,甲状腺功能减退; 2型糖尿病
P100252,袁刚,4201910200202132118,male,22,外科,慢性肾病
P100253,熊梦,6501612196203119625,female,62,骨科,慢性阻塞性肺病; 2型糖尿病; 骨折
P100254,林飞,5200213197802128151,male,46,老年科,急性上呼吸道感染
P100255,朱强涛,3101623197102181937,male,53,中医科,高血压; 肝硬化
P100256,马琪梦,5302004194502173600,female,79,感染科,甲状腺功能减退
P100257,许恒,1201816197005062675,male,54,内分泌科,高血压
P100258,胡睿,5300429200409033237,male,20,泌尿外科,慢性肾病; 心力衰竭; 术前检查
P100259,马辉,3600404194711119717,male,77,内科,贫血; 阑尾炎
P100260,田彤燕,350131519730304346X,female,51,中医科,痛风; 贫血
P100261,林洋,4101922195507195639,male,69,耳鼻喉科,尿路感染
P100262,林志,1300921199308024010,male,31,中医科,骨折; 阑尾炎
P100263,汪华,6301829196307057817,male,61,内科,贫血; 产检
P100264,梁丽,4200818199605028268,female,28,血液科,慢性支气管炎; 术前检查
P100265,康瑶蕊,5000104198008245162,female,44,外科,高血压
P100266,江凯,510151119410421461X,male,83,呼吸内科,阑尾炎; 产检
P100267,任秀红,320181720221126470X,female,2,外科,复查; 肝功能异常
P100268,朱莉,6300723199404154308,female,30,老年科,消化性溃疡
P100269,姜晴,530021819910117558X,female,33,普外科,甲状腺功能亢进; 肝功能异常; 胃炎
P100270,秦梦,5200809197107205042,female,53,神经内科,肝功能异常
P100271,戴嘉,6401123194912189499,male,75,皮肤科,类风湿关节炎
P100272,丁玲,5201123197809181443,female,46,新生儿科,痛风
P100273,钟芳,1200709202301229629,female,1,神经内科,肾功能不全; 急性上呼吸道感染
P100274,冯悦瑶,6400824198512188282,female,39,血液科,慢性肾病
P100275,阎龙,1200124193706183232,male,87,耳鼻喉科,健康体检; 骨折
P100276,邱悦,2100306200005152289,female,24,妇产科,高脂血症
P100277,白莉晴,5200502195806151943,female,66,耳鼻喉科,肝硬化
P100278,康雯婷,6201706197809035383,female,46,新生儿科,尿路感染
P100279,董宇斌,4300104198709168552,male,37,泌尿外科,脑梗死
P100280,蒋龙,5301001194605186659,male,78,ICU,健康体检; 复查
P100281,彭鹏军,1100307195309188537,male,71,口腔科,胃炎
P100282,陆波,1101523193511054211,male,89,急诊科,甲状腺功能亢进
P100283,白丽,3701314199807134008,female,26,血液科,高血压; 肺炎
P100284,吴泽,1301025198505205672,male,39,血液科,2型糖尿病; 产检
P100285,陆刚峰,5000510193109108659,male,93,内科,肾功能不全
P100286,陈伟,2201207196602105291,male,58,儿科,骨折
P100287,唐秀妍,5001803193109153700,female,93,消化内科,复查
P100288,魏玲,6500711199710036261,female,27,内分泌科,肝硬化; 肾功能不全
P100289,卢怡婷,5001409199912244628,female,25,口腔科,产检; 术前检查
P100290,魏兰,6300928198610031785,female,38,心内科,肺炎
P100291,李晨,4400730194007250494,male,84,消化内科,产检
P100292,薛峰天,4201703194903155054,male,75,ICU,脑梗死
P100293,邹明,1501612198811280532,male,36,老年科,肺炎
P100294,叶红萍,3700202197207168349,female,52,妇产科,房颤; 心力衰竭
P100295,阎龙勇,3501227197104174473,male,53,感染科,高血压
P100296,田亮晨,2101220197703069115,male,47,口腔科,阑尾炎
P100297,石志,2300205196307017393,male,61,骨科,冠心病
P100298,黄亮辉,5000129197110199259,male,53,急诊科,产检
P100299,梁红,5101709196503202146,female,59,泌尿外科,肺炎
P100300,阎龙强,6300520199011141232,male,34,普外科,冠心病; 消化性溃疡; 慢性支气管炎
P100301,林梦,4201412201911140587,female,5,肿瘤科,产检
P100302,丁晴,1401405193212193268,female,92,老年科,慢性支气管炎
P100303,秦悦,1101917198412261581,female,40,内科,类风湿关节炎
P100304,戴颖怡,4301419197505284689,female,49,消化内科,慢性阻塞性肺病; 类风湿关节炎; 痛风
P100305,谢颖,6101324197410121706,female,50,康复科,贫血
P100306,董晨,5100206198910234917,male,35,感染科,肾功能不全
P100307,秦怡莉,5301330200410025188,female,20,皮肤科,急性上呼吸道感染
P100308,谭鑫恒,4200820200510172118,male,19,肾内科,高血压
P100309,孙文,2201701197107199416,male,53,急诊科,尿路感染
P100310,沈红,3100614199410016405,female,30,新生儿科,慢性肾病
P100311,胡薇,520151319321009726X,female,92,老年科,阑尾炎
P100312,姜晴,500082219750213892X,female,49,感染科,尿路感染
P100313,许华峰,2101611197302184534,male,51,眼科,甲状腺功能减退
P100314,韩云,6300827195204077945,female,72,儿科,消化性溃疡; 慢性支气管炎
P100315,史芳,4501116198208127341,female,42,普外科,房颤
P100316,萧妍琪,4201213194309028723,female,81,泌尿外科,术前检查; 胆囊炎; 高血压
P100317,冯龙,4300908198705063478,male,37,耳鼻喉科,甲状腺功能亢进
P100318,钟萍,3700619194707091682,female,77,口腔科,胃炎
P100319,曹雯,4100106197912055367,female,45,儿科,胆囊炎; 复查; 肝硬化
P100320,白妍霞,3101627198204278006,female,42,泌尿外科,心力衰竭; 带状疱疹
P100321,白雯,3402007200607047384,female,18,皮肤科,甲状腺功能亢进; 慢性肾病
P100322,蒋薇,4501015193002138026,female,94,骨科,阑尾炎; 痛风
P100323,吴燕红,3102021198605235041,female,38,泌尿外科,带状疱疹; 健康体检
P100324,梁华,5300307199911092167,female,25,妇产科,产检
P100325,赵峰,1500321195505204952,male,69,呼吸内科,慢性肾病
P100326,林玲,6401128200511126065,female,19,新生儿科,健康体检; 肝功能异常; 甲状腺功能亢进
P100327,崔怡,4300826197406161162,female,50,神经内科,心力衰竭
P100328,吕伟明,5201625199109016155,male,33,内科,慢性肾病; 骨折
P100329,孔翔轩,5301327197603234834,male,48,消化内科,脑梗死
P100330,曾悦,3200421198103055883,female,43,泌尿外科,复查
P100331,蒋强毅,1501524202405090133,male,0,急诊科,复查
P100332,贾海俊,1201103194412269632,male,80,外科,慢性阻塞性肺病
P100333,郝志建,6100813193201049871,male,92,呼吸内科,冠心病; 甲状腺功能减退
P100334,马琪,3300621199411109305,female,30,康复科,消化性溃疡; 心力衰竭; 产检
P100335,韩颖,5001411195202080126,female,72,感染科,消化性溃疡
P100336,袁芳,4500512196108239808,female,63,呼吸内科,慢性支气管炎
P100337,黄静桂,4100811193302057145,female,91,感染科,甲状腺功能减退; 2型糖尿病
P100338,魏玲敏,4301607196909107221,female,55,新生儿科,术前检查
P100339,秦雯琪,3401501199705189980,female,27,血液科,2型糖尿病; 带状疱疹
P100340,蒋勇,5101625197104177034,male,53,耳鼻喉科,痛风
P100341,胡霞,1200704201603286228,female,8,妇产科,支气管哮喘
P100342,金彤,520030119950420266X,female,29,急诊科,急性上呼吸道感染
P100343,白欣,4200224195710090942,female,67,急诊科,胃炎; 骨折; 支气管哮喘
P100344,唐恒,4301424197809241394,male,46,肾内科,高脂血症; 胃炎
P100345,宋轩,3701229200109204099,male,23,内分泌科,痛风; 高脂血症
P100346,江云,3401515198912095007,female,35,康复科,慢性肾病
P100347,熊明,6401101199704079853,male,27,新生儿科,肾功能不全
P100348,刘健明,3101003198804087376,male,36,眼科,肺炎; 胆囊炎; 产检
P100349,姚睿,530191320080502101X,male,16,老年科,高脂血症
P100350,郭红,610130219290121398X,female,95,外科,肾功能不全
P100351,廖红倩,4200308193410195544,female,90,感染科,肝功能异常
P100352,徐洁,3501714202105039925,female,3,老年科,甲状腺功能减退
P100353,潘妍彤,1300925194204085543,female,82,口腔科,慢性支气管炎; 消化性溃疡; 痛风
P100354,薛琳琳,3402027198305065681,female,41,儿科,骨折
P100355,叶超,230203019551202185X,male,69,内科,消化性溃疡
P100356,任洁萍,4200918195204186187,female,72,康复科,2型糖尿病; 支气管哮喘; 冠心病
P100357,梁静彤,1301322199211013443,female,32,妇产科,支气管哮喘
P100358,阎晨,4501803201308282330,male,11,ICU,2型糖尿病; 冠心病; 脑梗死
P100359,蔡蕊英,5001008201906126446,female,5,感染科,心力衰竭
P100360,赵雯,1500324199607224889,female,28,口腔科,骨折; 痛风
P100361,康超,4300507198706158336,male,37,眼科,甲状腺功能减退
P100362,苏恒,4400611195903210895,male,65,新生儿科,消化性溃疡; 甲状腺功能亢进; 胆囊炎
P100363,赵浩,5300905197005159936,male,54,妇产科,2型糖尿病
P100364,江妍,3400323197611019964,female,48,儿科,产检
P100365,宋佳,3600130200004023464,female,24,呼吸内科,甲状腺功能减退; 类风湿关节炎
P100366,谢鑫,3601325197308080592,male,51,康复科,胆囊炎; 慢性阻塞性肺病
P100367,熊杰,4301324195704170591,male,67,血液科,急性上呼吸道感染
P100368,彭鑫博,3601020194908060696,male,75,儿科,健康体检
P100369,廖涛天,3501411193609055717,male,88,骨科,甲状腺功能减退
P100370,孙莉英,5201521195502044605,female,69,ICU,贫血; 支气管哮喘
P100371,陈英,6400506196203069806,female,62,肿瘤科,健康体检
P100372,宋秀,3100115195810256369,female,66,新生儿科,复查; 脑梗死
P100373,邱志,2301809196410017996,male,60,心内科,肾功能不全
P100374,丁磊磊,1300204196405115336,male,60,骨科,甲状腺功能亢进; 术前检查
P100375,刘燕,3601803199402253768,female,30,儿科,房颤
P100376,金欣,4401703196401046189,female,60,感染科,慢性肾病; 高脂血症; 胆囊炎
P100377,金妍,4101724197910198064,female,45,普外科,骨折; 慢性肾病
P100378,张涛涛,3600211195210144493,male,72,感染科,高血压; 甲状腺功能减退
